"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918E","F09F92A9","F09FA4A1","F09F94A5","F09F98A2","F09F98B1","F09FA4AF"
63291,560,4,0,64,0,0,0,0,0,0,0,0
63322,558,17,0,75,0,0,0,0,0,0,0,0
59100,557,2,0,58,0,0,0,0,0,0,0,0
59972,557,0,0,84,0,0,0,0,3,0,0,0
62495,557,0,0,65,0,0,0,0,7,0,0,0
55758,556,0,0,59,0,0,0,0,3,0,0,0
59781,556,13,0,7,0,0,0,0,0,0,0,0
60873,556,4,0,53,0,0,0,0,0,0,0,0
65064,556,0,0,78,0,0,0,5,0,0,0,0
59707,554,0,0,35,0,0,0,0,4,0,0,0
60115,554,0,0,53,0,0,0,0,1,0,0,0
65155,554,0,0,0,0,0,6,0,7,0,0,0
61376,552,0,0,35,0,0,0,0,5,0,0,0
61417,551,0,0,4,0,0,0,0,0,7,0,0
59933,550,30,0,25,0,0,0,0,0,0,0,0
59974,549,0,0,80,0,0,0,0,7,0,0,0
63830,549,0,0,162,0,0,2,0,0,0,0,0
56070,548,13,0,39,0,0,0,0,0,0,0,0
60901,548,8,0,123,0,0,0,0,0,0,0,0
62403,548,21,0,70,0,0,0,0,0,0,0,0
63826,547,0,0,74,0,0,0,9,0,0,0,0
53817,546,180,0,37,0,0,0,0,0,0,0,0
59165,546,0,0,52,0,0,0,0,1,0,0,0
61022,546,9,0,44,0,0,0,0,0,0,0,0
62996,546,0,0,84,0,0,0,0,3,0,0,0
51918,545,11,0,0,0,0,0,0,8,0,0,0
59233,545,0,0,33,0,0,0,0,0,11,0,0
63290,545,0,0,87,0,0,0,0,0,0,0,0
63654,545,0,0,77,0,0,0,0,0,0,0,0
58224,544,9,0,61,0,0,0,0,0,0,0,0
53827,543,7,0,54,0,0,0,0,0,0,0,0
61243,543,139,0,13,0,0,0,0,0,0,0,0
62466,542,10,0,68,0,0,0,0,0,0,0,0
57254,541,5,0,65,0,0,0,0,0,0,0,0
61334,541,0,0,46,0,0,0,0,5,0,0,0
63795,541,0,0,88,0,0,0,0,4,0,0,0
60751,540,4,0,63,0,0,0,0,0,0,0,0
61195,540,0,0,0,0,0,0,0,7,0,0,0
63464,540,0,0,29,3,0,0,0,0,0,0,0
