"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918F","F09F918E","F09FA4A1","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98A2","F09F98B1","F09F918C","F09F958A","F09F9988","F09FA4AF","F09FA4B7","other"
65850,160,33,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72530,160,2,0,15,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74317,160,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
79276,160,0,0,7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81302,160,1,0,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83511,160,0,0,9,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,2
65868,159,0,0,23,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66910,159,0,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76783,159,0,0,20,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84232,159,0,0,7,0,23,0,1,1,0,0,0,0,0,0,0,0,0,0,0
63237,158,0,0,15,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65911,158,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75138,158,3,0,5,0,25,0,0,0,0,0,0,0,0,3,0,0,0,0,2
80371,158,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80908,158,0,0,34,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0
64621,157,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74272,157,0,0,4,0,18,0,0,0,0,1,0,0,0,1,0,0,0,0,0
77623,157,0,0,7,0,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0
62282,156,0,0,12,0,31,0,0,3,0,0,0,0,0,0,0,0,0,0,0
63453,156,0,0,27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64338,156,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71469,156,0,0,20,0,43,0,0,0,0,0,0,0,0,5,0,0,0,0,0
73991,156,0,1,3,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0
74257,156,0,0,18,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0
77563,156,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
80450,156,0,0,15,0,2,0,0,4,0,0,0,0,0,0,5,0,0,0,0
81515,156,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
82033,156,0,0,12,0,28,0,0,0,0,0,0,0,0,5,0,0,0,0,0
82706,156,0,0,18,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
84013,156,0,0,8,0,28,0,2,0,0,0,13,0,0,15,0,0,0,0,0
86307,156,0,0,8,0,20,0,0,1,0,0,6,0,0,0,0,0,0,0,1
66280,155,0,0,9,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
66857,155,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
79450,155,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
81586,155,0,0,43,0,4,0,0,0,0,0,0,0,0,0,4,0,0,2,0
84334,155,1,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86132,155,0,0,7,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
61540,154,0,0,38,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64341,154,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65035,154,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68592,154,6,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
71843,154,0,0,4,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74292,154,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78172,154,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84401,154,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65026,153,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67535,153,0,0,19,0,23,0,0,0,0,0,0,0,0,3,0,0,0,0,0
71499,153,0,0,1,2,19,0,5,0,0,0,0,0,0,2,0,0,0,0,0
75651,153,2,0,3,0,14,0,0,0,0,0,0,1,0,34,0,0,0,0,0
80754,153,0,0,18,0,11,0,0,0,0,0,0,0,0,9,0,0,0,0,0
81190,153,1,0,26,0,17,0,0,0,0,0,0,0,0,7,0,0,0,0,0
63289,152,0,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69930,152,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70982,152,0,0,26,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74152,152,5,0,7,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1
80372,152,0,0,13,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80668,152,0,0,14,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80947,152,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86691,152,0,0,35,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
61604,151,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62513,151,0,0,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0
