"","src_username","dst_username","log_forward_time","cat_forward_time"
"63","casusbellilive","mimisramova",2.19589965240923,2.5
"64","casusbellilive","mimisramova",2.81023251799508,3
"65","casusbellilive","mimisramova",2.81023251799508,3
"66","casusbellilive","mimisramova",2.96894968098134,3
"67","casusbellilive","investigativnyblogSK",3.67384997734295,4
"68","casusbellilive","investigativnyblogSK",4.90971645323434,5
"69","casusbellilive","ksbspravy",2.0899051114394,2.5
"70","casusbellilive","mimisramova",3.43520710324075,3.5
"71","casusbellilive","mimisramova",3.15806079393661,3.5
"72","casusbellilive","mimisramova",2.16731733474818,2.5
"73","casusbellilive","mimisramova",2.16731733474818,2.5
"74","casusbellilive","LussiList",3.98985010960318,4
"75","casusbellilive","mimisramova",2.49136169383427,2.5
"76","casusbellilive","mimisramova",2.13033376849501,2.5
"77","casusbellilive","coNemateVedet",2.06445798922692,2.5
"78","casusbellilive","mimisramova",4.74170298395774,5
"79","casusbellilive","mimisramova",2.5910646070265,3
"80","casusbellilive","mimisramova",3.06032002868829,3.5
"81","casusbellilive","mimisramova",3.4929000111087,3.5
"82","casusbellilive","mimisramova",3.15167623084705,3.5
"83","casusbellilive","investigativnyblogSK",2.95133751879592,3
"84","casusbellilive","investigativnyblogSK",2.95085145888855,3
"85","casusbellilive","investigativnyblogSK",2.95085145888855,3
"86","casusbellilive","mimisramova",3.05037975626146,3.5
"87","casusbellilive","mimisramova",4.30191938803586,4.5
"88","casusbellilive","mimisramova",2.87390159786446,3
"89","casusbellilive","smebratia",3.03382569395331,3.5
"90","casusbellilive","mimisramova",1.89762709129044,2
"91","casusbellilive","investigativnyblogSK",3.03901732199741,3.5
"92","casusbellilive","mimisramova",2.48572142648158,2.5
"93","casusbellilive","mimisramova",3.12839926871781,3.5
"94","casusbellilive","SvetKolemNas",2.3384564936046,2.5
"95","casusbellilive","ksbspravy",2.22530928172586,2.5
"96","casusbellilive","coNemateVedet",2.55630250076729,3
"97","casusbellilive","mimisramova",3.90254677931399,4
"98","casusbellilive","ksbspravy",2.2718416065365,2.5
"99","casusbellilive","SvetKolemNas",4.62757066418054,5
"100","casusbellilive","coNemateVedet",4.13353890837022,4.5
"101","casusbellilive","coNemateVedet",3.54270096944811,4
"102","casusbellilive","coNemateVedet",3.54270096944811,4
"103","casusbellilive","coNemateVedet",3.54270096944811,4
"104","casusbellilive","coNemateVedet",3.54270096944811,4
"105","casusbellilive","mimisramova",3.18241465243455,3.5
"106","casusbellilive","mimisramova",2.36361197989214,2.5
"107","casusbellilive","coNemateVedet",1.85125834871908,2
"108","casusbellilive","ksbspravy",2.44404479591808,2.5
"109","casusbellilive","coNemateVedet",3.20303288701471,3.5
"110","casusbellilive","mimisramova",3.11126251365907,3.5
"111","casusbellilive","mimisramova",2.62531245096167,3
"112","casusbellilive","mimisramova",2.10380372095596,2.5
