"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918F","F09F918E","F09FA4A3","F09F92A9","F09FA4A1","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98A2","F09F98B1","F09F998F","F09F918C","F09F9695","F09F958A","F09F9988","F09FA4AF","F09F98A1","F09F8DBE","F09FA4B7","other"
36181,1053,8,0,97,0,36,0,0,4,0,0,0,0,12,0,0,0,45,0,0,0,0,0,0,1,2
22364,1051,0,0,70,0,54,0,0,0,3,4,0,0,123,0,0,0,7,0,0,0,0,0,0,0,0
21534,1050,7,89,6,0,28,0,0,155,21,1,0,0,40,0,0,17,0,0,0,0,0,0,0,0,3
26354,1042,0,0,311,0,47,1,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,1,3
23485,1041,63,7,190,0,42,0,9,0,9,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0
35843,1041,0,4,177,0,51,0,0,0,9,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,2
26293,1040,0,0,13,0,128,0,0,0,0,0,0,0,55,0,0,0,19,0,0,0,0,0,0,0,1
30139,1031,0,0,135,0,65,0,0,3,0,0,1,0,17,0,0,0,0,1,0,0,0,0,0,1,5
30145,1028,0,0,66,0,11,0,0,6,17,0,2,3,4,0,0,0,0,1,0,0,0,0,0,0,0
21462,1024,35,0,10,0,24,3,10,0,0,0,0,0,81,0,0,0,11,0,0,0,0,0,0,1,1
22470,1023,0,0,194,0,25,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
36282,1023,0,1,138,0,35,0,0,0,0,2,0,0,54,0,0,0,5,0,0,0,0,0,23,0,6
26327,1021,0,0,81,0,30,0,0,0,0,0,0,0,1,0,0,129,0,0,0,0,0,0,0,0,0
26092,1018,0,0,176,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0
36469,1014,0,2,102,0,41,2,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0
36813,1013,4,0,21,0,0,8,0,15,0,4,0,36,3,0,2,0,0,1,0,0,0,0,0,0,0
34758,1009,0,0,86,0,166,2,0,0,0,2,0,0,93,0,0,0,6,0,0,0,0,0,0,3,2
24564,1007,4,0,87,0,49,13,0,0,10,0,0,27,0,0,0,0,0,0,0,0,0,0,76,1,0
26297,1003,0,0,66,0,0,0,0,6,2,0,8,0,46,0,0,0,17,6,0,2,3,1,0,0,0
23128,1000,16,0,51,0,153,0,8,0,2,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3
35667,998,0,0,150,0,80,1,0,0,0,0,0,0,21,0,0,6,0,0,0,0,0,0,0,0,0
29664,995,0,0,134,0,35,0,0,0,0,0,0,3,170,0,0,0,0,0,0,0,0,0,0,0,4
26167,994,0,0,107,0,37,0,0,0,0,1,0,1,67,0,0,0,5,0,0,0,0,0,0,4,0
23555,991,6,0,16,0,107,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
21545,988,1,20,6,0,52,0,245,15,0,1,0,0,3,0,0,0,0,0,0,2,0,0,42,0,0
24430,987,2,0,34,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0
27691,986,2,0,156,0,0,0,0,1,0,0,0,0,23,0,0,48,0,0,0,0,0,0,0,0,3
21214,980,0,0,32,0,30,5,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0
21577,978,0,0,36,0,78,0,17,0,0,0,0,0,13,0,0,0,11,0,0,0,0,0,0,0,0
23358,978,0,0,54,0,0,0,1,2,0,3,2,0,0,0,0,19,0,0,17,0,0,0,77,0,0
