"","src_username","dst_username","mean_forward_time","mode_forward_time","sd_forward_time","n_records","ratio_below_t","left_ratio","bar_color"
"15","InfodefenseCZE","kanalklubunekonvencnemysliacich",3.45679186943451,3.5,0.887651921263453,66,0.166666666666667,1.18589154839316,"darkgreen"
"16","LussiList","MGzpravy",3.87838958457535,5,0.912927837965842,49,0.0816326530612245,1.24553780585921,"darkgreen"
"17","LussiList","aliancenarodnichsil",4.43440383692096,5,0.92228165213566,54,0.0185185185185185,1.03003136766845,"darkgreen"
"18","LussiList","coNemateVedet",2.49374450450387,3,0.862532428573049,265,0.516981132075472,1.02801357347471,"darkgreen"
"19","LussiList","jarek53",3.22277911627905,2.5,1.07474164055364,13,0.461538461538462,1.8415266678653,"grey"
"20","MGzpravy","MGzpravy",4.51298370390478,4.5,0.876851034079178,13,0.0769230769230769,7.09189043138842,"grey"
"21","MGzpravy","SvetKolemNas",2.76084494025573,2,0.834710371234237,15,0.466666666666667,1.23675605983085,"grey"
"22","MGzpravy","aliancenarodnichsil",5.2741216444278,6,0.658358042061777,5,0,0,"grey"
"23","MGzpravy","jarek53",3.43274324943841,3.5,1.51360099680269,11,0.272727272727273,1.01435498964771,"grey"
"24","SMERSD","MGzpravy",4.39300147284741,4.5,0.315396755652413,6,0,0,"grey"
"25","SMERSD","investigativnyblogSK",3.47090591810057,4,0.766721726684648,299,0.127090301003344,1.23747385989822,"darkgreen"
"26","SMERSD","kanalklubunekonvencnemysliacich",4.35184179934621,4.5,0.843191833761445,5,0,0,"grey"
"27","SMERSD","ksbspravy",3.4479114408723,4,0.962007888018054,139,0.194244604316547,1.19736398483737,"darkgreen"
"28","SMERSD","mimisramova",2.92096558148343,3,0.751213697400074,227,0.251101321585903,0.873062069236147,"darkgreen"
"29","SMERSD","slovanskenoviny",3.07469311395936,4,0.987050657811641,143,0.27972027972028,0.998270143852631,"darkgreen"
"30","SMERSD","smebratia",2.56410208037901,2.5,0.826706472552031,351,0.501424501424501,1.0689135429803,"darkgreen"
"31","SMERSD","vsetkyspravy",3.56800270311768,4,1.08497690972968,238,0.172268907563025,1.06030923546863,"darkgreen"
"32","SMERSD","zemavek",3.96098041926364,4.5,0.505096748530319,5,0,0,"grey"
"33","SvetKolemNas","MGzpravy",3.41861620913139,3,0.828917755693815,40,0.1,0.746908335884827,"darkgreen"
"34","SvetKolemNas","SvetKolemNas",5.28439574936661,5,0.430261230292636,7,0,0,"grey"
"35","SvetKolemNas","aliancenarodnichsil",2.9834815330552,4.5,1.38723236632664,23,0.434782608695652,1.19536424650511,"darkgreen"
"36","SvetKolemNas","jarek53",3.86602185765873,3.5,0.580986673395659,5,0,0,"grey"
"37","aliancenarodnichsil","MGzpravy",4.01542884162534,4,0.673790325125814,40,0.025,2.04036064097027,"darkgreen"
"38","aliancenarodnichsil","SvetKolemNas",2.81415783288434,2,1.22198542346891,139,0.503597122302158,1.26355611830423,"black"
"39","casusbellilive","SvetKolemNas",3.91232703098891,5,1.16409554441273,17,0.235294117647059,2.09114864353793,"grey"
"40","casusbellilive","aliancenarodnichsil",4.03347736836666,4.5,2.07627372365395e-05,6,0,NA,"grey"
"41","casusbellilive","casusbellilive",6.19576832184354,6.5,0.689822373896723,5,0,0,"grey"
"42","casusbellilive","coNemateVedet",3.01185003073462,4,0.801063697996479,70,0.3,1.14756318162399,"darkgreen"
"43","casusbellilive","investigativnyblogSK",1.63775503009814,1,1.10784582673042,255,0.780392156862745,0.998191325158488,"black"
"44","casusbellilive","kanalklubunekonvencnemysliacich",3.99877242356391,4.5,0.690209749777325,1194,0.0376884422110553,2.52135632327419,"darkgreen"
"45","casusbellilive","ksbspravy",3.04828396205773,4.5,0.933939417093555,36,0.361111111111111,1.29625765735454,"darkgreen"
"46","casusbellilive","mimisramova",3.00435027508803,3,0.834626424587248,344,0.302325581395349,1.10811840824034,"darkgreen"
"47","casusbellilive","smebratia",3.45566237250844,3.5,0.495573421663353,31,0.032258064516129,1.19905648231362,"darkgreen"
