"message_id","F09F918D","F09F9881","E29DA4","F09F918F","F09F918E","F09FA4A3","F09FA494","F09FA4B7","other"
135935,119,2,0,0,11,0,1,0,0
145792,119,0,11,13,0,0,0,0,22
112110,118,0,31,5,0,0,0,0,0
112466,118,0,0,0,1,0,0,0,0
115462,118,0,5,16,0,3,0,0,0
116321,118,0,45,8,0,0,0,0,0
118195,118,0,1,15,0,0,0,0,0
125409,118,0,0,0,0,1,8,0,0
125457,118,0,0,0,0,0,0,0,1
132882,118,1,5,2,0,0,0,0,0
134609,118,0,2,3,0,0,0,0,0
136110,118,0,30,0,0,0,0,0,3
136119,118,0,0,7,0,0,0,0,0
138968,118,0,3,0,0,5,0,0,0
145787,118,0,6,0,0,0,0,0,0
121061,117,0,0,2,0,0,0,0,0
122725,117,0,15,12,0,0,0,0,0
123492,117,0,0,5,1,0,1,0,1
124366,117,0,14,17,0,0,0,0,0
125073,117,0,15,5,0,0,0,0,0
126634,117,0,10,27,0,2,0,0,0
129753,117,0,17,32,0,0,0,0,0
133244,117,0,4,18,0,0,0,0,0
149862,117,26,0,5,0,3,0,0,9
114458,116,0,9,15,0,0,0,0,0
114593,116,0,9,0,0,0,1,0,0
121699,116,0,2,15,0,0,0,0,0
124061,116,0,22,0,0,0,3,0,0
126484,116,5,3,29,0,0,6,0,0
128042,116,0,0,2,17,0,1,0,0
137422,116,0,0,0,1,0,23,0,0
140705,116,0,23,33,0,0,1,0,0
149718,116,0,32,15,0,0,0,0,0
114708,115,0,0,0,0,0,0,0,0
116179,115,0,0,0,0,0,0,0,0
118888,115,0,0,0,0,0,0,0,0
124510,115,0,25,2,0,0,0,0,0
124733,115,0,9,13,0,2,3,0,0
126801,115,0,40,0,0,0,0,0,0
127031,115,1,8,10,0,4,0,0,1
128097,115,0,9,20,0,5,5,0,2
133831,115,0,14,26,0,0,0,0,0
143845,115,0,28,2,0,0,0,0,0
149301,115,0,9,5,0,1,0,0,0
111985,114,0,88,10,0,0,0,0,0
112174,114,1,4,14,0,1,0,0,0
113020,114,0,9,3,0,3,15,0,0
118801,114,0,18,0,0,0,0,0,0
121164,114,0,4,13,0,0,0,0,0
125525,114,0,1,12,0,0,5,0,2
128289,114,1,6,13,0,0,0,0,0
129317,114,0,9,0,0,0,0,0,5
132886,114,0,0,4,0,0,0,0,0
133412,114,0,16,2,0,0,0,0,0
134688,114,0,15,2,0,0,0,0,0
140384,114,0,12,0,0,0,0,0,0
143299,114,15,0,0,0,0,1,0,0
147407,114,8,19,17,0,0,0,0,3
147423,114,13,8,1,0,0,0,0,0
114190,113,0,27,0,0,0,0,0,0
114276,113,0,62,0,0,0,3,4,12
114429,113,0,18,28,1,0,0,0,0
115989,113,0,38,0,0,0,0,0,0
118681,113,0,4,8,0,0,0,0,0
119640,113,1,12,9,0,7,11,0,0
126747,113,0,7,2,0,0,0,0,0
135525,113,0,10,0,0,0,0,0,0
136096,113,2,6,0,0,0,0,0,0
138583,113,0,11,14,0,1,0,0,0
142217,113,0,0,12,0,1,0,0,0
146161,113,0,0,37,0,1,0,0,0
112578,112,0,12,9,0,0,0,0,0
114000,112,0,3,1,1,0,0,0,0
114821,112,0,2,1,0,0,2,0,22
114826,112,0,14,5,0,2,13,0,25
115152,112,0,0,0,0,0,0,0,0
