"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918F","F09F918E","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98A2","F09F998F","F09F918C","F09F958A","F09F9988","F09FA4AF","F09F98A1","F09FA4B7","other"
61569,538,0,0,8,0,68,0,0,0,8,0,0,0,0,0,0,0,2,0,0
55427,537,0,0,29,0,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56221,537,0,0,26,0,110,0,0,0,2,0,0,0,0,0,0,0,0,0,0
57605,537,2,0,86,0,55,3,2,0,0,0,0,0,0,0,0,0,0,0,0
60190,537,4,0,57,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62283,537,31,0,8,0,75,0,0,0,3,0,0,0,0,0,0,0,0,0,2
54370,536,0,0,1,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0
65391,536,0,0,56,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,1
54230,535,6,0,58,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0
54756,535,7,0,21,0,73,1,3,0,2,0,0,0,0,0,0,0,0,0,0
62604,535,1,0,80,0,19,0,0,0,0,0,0,0,0,55,0,0,0,0,1
65614,535,3,0,15,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53128,534,1,0,10,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0
63049,534,0,0,30,0,18,0,2,0,0,49,0,0,0,0,0,0,0,0,1
58872,533,4,0,51,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53932,532,7,0,30,0,83,1,7,0,0,0,0,0,0,0,0,0,0,0,0
55332,532,0,0,76,0,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0
56739,532,11,0,32,0,3,7,1,0,4,0,0,0,0,0,0,0,0,0,0
63035,532,57,0,0,0,41,0,2,3,1,13,0,0,0,0,0,1,0,0,3
62830,531,3,21,17,0,4,5,0,0,68,0,0,0,2,0,0,0,0,0,1
54228,530,3,0,35,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55315,530,0,0,9,0,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0
55333,530,0,0,26,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55520,530,5,0,36,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62562,530,0,0,63,0,42,1,0,0,2,0,0,0,0,0,0,0,0,0,1
64069,530,2,0,0,0,53,0,0,0,0,49,0,0,1,0,0,0,0,0,1
66968,530,4,0,0,0,20,0,0,0,0,119,0,0,0,0,0,0,0,0,0
67537,530,0,0,3,0,0,0,0,0,4,112,8,0,0,0,0,0,0,0,1
54298,529,1,0,31,0,24,3,0,0,2,0,0,0,0,0,0,0,0,0,0
59206,529,45,0,10,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54471,528,3,0,15,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54793,528,0,0,67,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56807,528,1,0,16,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60331,528,1,0,33,0,60,0,0,0,0,0,0,0,0,52,0,0,0,0,0
64971,528,6,2,26,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1
59152,527,45,0,20,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71612,527,0,0,49,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61078,526,0,0,62,0,20,0,0,0,0,0,0,9,0,0,0,0,0,0,0
67281,526,2,0,12,0,89,0,2,0,1,33,0,0,5,0,0,0,0,0,0
69699,526,6,4,31,0,76,0,1,4,0,0,0,0,13,0,0,0,0,0,3
53862,525,3,0,38,0,20,4,7,0,0,0,0,0,0,0,0,0,0,0,0
60827,525,4,0,37,0,85,0,2,0,2,0,0,0,0,0,0,0,0,0,0
62138,525,0,0,20,0,17,0,0,0,0,67,0,0,0,0,0,0,0,0,1
63020,525,0,3,0,0,24,0,0,0,1,68,0,0,1,0,0,0,0,0,2
53584,523,1,0,47,0,32,1,0,0,5,0,0,0,0,0,0,0,0,0,0
53503,522,26,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61312,522,6,1,6,0,18,0,6,0,2,66,0,0,0,0,0,0,0,0,0
61658,521,10,0,0,0,94,0,0,5,2,0,0,0,0,0,0,0,0,0,0
65253,521,1,0,42,0,70,1,0,0,3,13,0,0,0,0,0,0,0,0,1
65886,521,0,0,23,0,104,0,0,0,0,0,0,2,3,0,0,0,0,0,0
53075,520,3,0,36,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54518,520,5,0,7,0,46,1,0,0,13,0,0,0,0,0,0,0,0,0,0
59949,520,1,0,19,0,74,0,0,0,0,5,0,0,0,0,0,0,0,0,0
61446,519,0,0,132,0,1,0,5,0,1,4,53,0,0,94,0,0,0,0,0
54236,518,0,0,41,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55038,518,0,0,23,0,3,1,0,0,12,0,0,0,0,0,0,0,0,0,0
55422,518,2,0,58,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56155,518,0,0,16,0,70,0,6,0,0,0,0,0,0,10,0,0,0,0,0
61891,518,2,0,1,0,92,0,2,0,1,42,0,0,2,0,0,0,0,0,2
64415,518,9,0,23,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53975,517,0,0,7,0,37,0,0,0,3,0,0,0,0,0,0,0,0,0,0
55927,516,0,0,7,0,63,2,0,0,1,0,0,0,0,0,0,0,0,0,0
61494,516,3,4,13,7,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67557,516,6,0,22,0,64,0,0,0,2,0,0,0,10,0,0,0,0,0,0
53806,515,127,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0
54189,515,5,0,49,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0
58813,515,0,0,34,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62406,515,1,0,3,0,52,0,7,1,6,31,0,0,0,0,0,0,0,0,1
62599,515,0,1,38,0,68,0,0,0,0,0,0,0,0,9,0,0,0,0,1
63782,515,62,0,3,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,1
69174,515,5,0,27,0,57,0,0,0,12,47,0,0,0,0,2,0,0,0,0
55414,514,14,0,6,0,68,6,0,0,0,0,0,0,0,0,0,0,0,0,0
65404,514,2,3,42,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1
53147,513,4,0,128,0,34,0,0,0,1,0,0,0,0,0,0,0,0,3,0
65080,513,0,0,37,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52981,512,0,0,36,0,64,0,0,0,4,0,0,0,0,0,0,0,0,4,0
53207,512,0,0,38,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65260,512,0,2,5,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0,1
72164,512,8,1,16,0,65,0,0,0,0,40,0,0,7,0,0,0,0,0,0
53510,511,11,0,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
60317,511,0,2,0,0,26,0,0,0,0,73,0,0,0,0,0,0,0,0,0
60355,511,2,0,38,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
61132,511,3,1,52,0,64,4,0,0,3,0,0,0,0,0,0,0,0,0,0
67393,511,11,0,9,0,104,0,0,0,0,36,0,0,0,0,0,0,0,0,0
52868,509,0,0,26,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55078,509,2,0,73,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55990,509,2,0,8,0,37,0,2,0,4,0,0,0,0,0,0,0,0,0,0
68761,509,7,0,27,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0
54880,508,1,0,27,0,70,0,0,0,11,0,0,0,0,0,0,0,0,0,0
60395,508,2,0,20,0,60,0,0,1,2,0,0,0,0,0,0,0,0,0,0
65531,508,0,0,25,0,16,0,0,0,3,97,0,0,0,2,0,0,0,0,1
69044,508,4,0,60,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0
56755,507,3,0,31,0,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0
58826,507,0,0,32,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62735,507,0,0,18,0,72,0,3,0,1,12,0,0,0,0,0,0,0,0,1
61992,506,0,0,15,0,0,0,0,0,10,0,0,0,0,16,0,0,0,0,0
54278,505,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60339,505,0,0,68,0,28,0,0,0,0,0,0,0,0,8,0,0,0,0,0
61280,505,0,4,13,0,8,0,4,0,1,30,0,0,0,0,0,0,0,0,0
65199,505,0,0,8,0,80,0,2,0,9,38,0,0,0,0,0,0,0,0,1
69475,505,0,4,19,0,9,0,0,0,0,110,0,20,0,0,0,0,0,0,0
54526,504,6,0,41,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0
55711,504,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56207,504,14,0,17,0,70,0,0,0,2,0,0,0,0,0,0,0,0,0,0
58666,504,0,0,161,0,7,0,0,0,2,0,0,0,0,23,0,0,0,0,0
61722,504,3,1,16,0,42,0,0,0,0,30,0,0,0,0,0,0,0,0,0
66415,504,0,0,4,0,0,0,0,0,1,34,0,0,0,17,0,0,0,0,0
55307,503,4,0,28,0,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64635,503,4,2,32,0,77,0,2,0,3,0,0,3,10,0,0,0,0,0,1
65229,503,20,0,156,0,0,0,0,1,5,0,0,3,0,0,6,0,0,0,3
69868,503,1,0,12,0,55,2,0,0,1,0,0,0,0,0,0,0,0,0,0
70406,503,7,1,128,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66821,502,25,0,16,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0
53562,501,6,0,32,0,67,0,0,0,3,0,0,0,0,10,0,0,0,0,0
54558,501,25,0,12,0,79,0,0,0,2,0,0,0,0,0,0,0,0,0,0
68400,501,14,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
56697,500,0,0,21,0,46,0,0,0,3,0,0,0,0,0,0,0,0,0,0
57071,500,0,0,22,0,55,0,0,0,2,0,0,0,0,0,0,0,0,0,0
65029,500,0,3,46,0,36,0,0,0,2,1,0,0,0,0,0,0,0,0,1
68538,500,8,0,54,0,5,9,0,3,25,0,0,0,0,0,18,0,0,0,0
53071,499,1,0,0,0,57,0,15,0,3,0,0,0,0,0,0,0,0,0,0
55842,499,1,0,14,0,16,22,6,0,1,0,0,0,0,0,0,0,0,0,0
56732,499,3,0,20,0,44,1,0,0,4,0,0,0,0,0,0,0,0,0,0
62400,499,4,0,11,0,0,0,0,0,0,90,0,0,8,0,0,0,0,0,1
52922,498,137,0,1,0,34,0,4,0,2,0,0,0,0,0,0,0,0,0,0
55817,498,34,0,15,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
60470,498,0,0,22,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66037,498,0,2,33,0,56,0,0,0,3,0,0,0,0,0,0,0,0,0,0
53726,497,4,0,3,0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60319,497,0,0,68,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60922,496,0,0,16,0,135,0,0,0,6,0,0,0,0,0,0,0,0,0,0
63727,496,4,0,20,0,3,0,0,0,3,52,0,0,0,0,0,0,0,0,1
68851,496,0,0,0,5,56,0,8,0,5,5,0,0,0,0,0,0,0,0,0
55207,495,0,0,18,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53321,494,2,0,5,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58832,494,0,0,33,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62568,494,0,0,6,0,40,0,0,0,0,102,2,0,2,0,0,0,0,0,1
62718,494,14,0,0,0,54,0,0,0,12,0,0,0,0,0,0,0,0,0,1
62904,494,0,0,9,0,22,0,0,0,0,62,0,0,0,0,0,0,0,0,1
66209,494,23,2,13,0,74,0,0,0,6,0,0,0,0,0,0,0,0,0,0
53317,493,0,0,10,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
