"message_id","F09F918D","F09F9881","E29DA4","F09FA4AC","F09F918F","F09F918E","F09FA4A3","F09FA4A1","F09F94A5","F09FA494","F09F92AF","F09F98A2","F09F98B1","F09F998F","F09F918C","F09F9988","F09FA4AF","F09F98A1","F09FA4B7","other"
54877,258,4,22,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
56379,258,0,25,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
51599,257,0,45,0,0,0,0,3,0,1,14,0,0,0,0,0,0,0,0,3
52423,257,0,23,0,2,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
53767,257,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54749,257,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57993,257,0,12,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
61924,257,0,6,0,28,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0
62191,257,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
51207,256,0,66,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57676,256,0,24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64925,256,0,4,0,18,0,2,0,0,0,2,0,1,0,0,0,0,0,4,0
52362,255,56,17,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54371,255,0,20,0,7,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0
54511,255,0,16,0,78,0,0,0,0,0,7,0,0,0,6,0,0,0,1,0
62101,255,0,0,0,9,1,0,0,22,0,0,0,1,0,0,0,0,0,0,0
62324,255,0,2,0,3,0,0,0,3,0,29,0,0,0,0,0,0,1,0,0
63267,255,25,0,0,74,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
64356,255,0,48,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
51908,254,0,10,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53136,254,42,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
56673,254,0,5,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
59918,254,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
60468,254,1,0,0,7,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0
52380,253,0,29,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53786,253,8,10,0,48,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0
53792,253,0,28,0,7,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0
59456,253,0,17,0,1,3,5,0,0,0,0,0,0,0,2,0,0,0,0,0
65683,253,0,30,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
