"","message_id","hex_u_emo","count","Emoji","Unicode.codepoint","Occurrences","Position","Negative","Neutral","Positive","Substituted","negative_norm","neutral_norm","positive_norm","neutral","positive","negative"
"3696",90819,"F09F918D",9,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,2.23300970873786,5.73300970873786,1.03398058252427
"3697",90819,"F09F98B1",1,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,0.282300884955752,0.453982300884956,0.263716814159292
"3698",90820,"F09F918D",28,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,6.94714131607336,17.8360302049622,3.2168284789644
"3699",90821,"F09F918D",1,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.248112189859763,0.637001078748652,0.114886731391586
"3700",90821,"F09F9881",17,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,5.03243490178164,9.80858839652809,2.15897670169027
"3701",90822,"F09F918D",3,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.744336569579288,1.91100323624595,0.344660194174757
"3702",90822,"F09F9881",8,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,2.36820465966195,4.61580630424852,1.01598903608954
"3703",90823,"F09F918D",1,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.248112189859763,0.637001078748652,0.114886731391586
"3704",90823,"F09F98B1",11,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,3.10530973451327,4.99380530973451,2.90088495575221
"3705",90824,"F09F918D",20,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,4.96224379719525,12.740021574973,2.29773462783172
"3706",90827,"F09F918D",11,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,2.72923408845739,7.00701186623517,1.26375404530744
"3707",90828,"F09F918D",20,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,4.96224379719525,12.740021574973,2.29773462783172
"3708",90829,"F09F918D",1,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.248112189859763,0.637001078748652,0.114886731391586
"3709",90829,"F09F9881",1,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,0.296025582457743,0.576975788031064,0.126998629511192
"3710",90829,"F09F98B1",17,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,4.79911504424779,7.71769911504425,4.48318584070796
"3711",90830,"E29DA4",2,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,0.331428571428571,1.58037267080745,0.0881987577639751
